lr,rv,,,,,,,,,,,,,,,,,,,,,
-0.409096588,0.344358887,,,,,,,,,,,,,,,,,,,,,
-0.012013455,0.020630798,,,,,,,,,,,,,,,,,,,,,
-0.060840274,0.11309032,,,,,,,,,,,,,,,,,,,,,
0.022537751,0.38776649,,,,,,,,,,,,,,,,,,,,,
-0.043577569,0.290551987,,,,,,,,,,,,,,,,,,,,,
0.45512392,0.32648466,,,,,,,,,,,,,,,,,,,,,
0.712627501,0.300081987,,,,,,,,,,,,,,,,,,,,,
0.012626403,0.010668697,,,,,,,,,,,,,,,,,,,,,
-0.132284982,0.208050431,,,,,,,,,,,,,,,,,,,,,
0.300732007,0.182408292,,,,,,,,,,,,,,,,,,,,,
0.597290322,0.175284755,,,,,,,,,,,,,,,,,,,,,
0.318620416,0.162063009,,,,,,,,,,,,,,,,,,,,,
0.202564416,0.336681757,,,,,,,,,,,,,,,,,,,,,
0.042515761,0.01225453,,,,,,,,,,,,,,,,,,,,,
-0.990606621,0.254343628,,,,,,,,,,,,,,,,,,,,,
0.532244021,0.448777739,,,,,,,,,,,,,,,,,,,,,
-0.44790016,0.275609715,,,,,,,,,,,,,,,,,,,,,
-1.034036978,0.406717002,,,,,,,,,,,,,,,,,,,,,
-0.146565094,0.26169018,,,,,,,,,,,,,,,,,,,,,
0.021699197,0.004834148,,,,,,,,,,,,,,,,,,,,,
0.265993373,0.237391143,,,,,,,,,,,,,,,,,,,,,
0.376112488,0.278770202,,,,,,,,,,,,,,,,,,,,,
-0.057256522,0.227557861,,,,,,,,,,,,,,,,,,,,,
-0.706125901,0.273722224,,,,,,,,,,,,,,,,,,,,,
0.080867382,0.314104083,,,,,,,,,,,,,,,,,,,,,
-0.163299586,0.0108989,,,,,,,,,,,,,,,,,,,,,
0.071944606,0.152228006,,,,,,,,,,,,,,,,,,,,,
0.349244096,0.166247335,,,,,,,,,,,,,,,,,,,,,
-0.917967433,0.36395097,,,,,,,,,,,,,,,,,,,,,
-0.609870886,0.336423645,,,,,,,,,,,,,,,,,,,,,
-0.013645564,0.256012538,,,,,,,,,,,,,,,,,,,,,
0.006823015,0.051132534,,,,,,,,,,,,,,,,,,,,,
-0.953657683,0.612910572,,,,,,,,,,,,,,,,,,,,,
0.009949068,0.533101693,,,,,,,,,,,,,,,,,,,,,
0.668903917,0.335226488,,,,,,,,,,,,,,,,,,,,,
-0.722487512,0.241671972,,,,,,,,,,,,,,,,,,,,,
-0.325178598,0.324936739,,,,,,,,,,,,,,,,,,,,,
