ticker,model,metric,horizon,value
EURUSD,GARCH,MAE,1,0.3490726830955423
EURUSD,GARCH,Pearson r,1,0.05320411943512997
EURUSD,GARCH,QLIKE,1,7.95114752231569
EURUSD,GARCH,R2,1,-0.23338099364366793
EURUSD,GARCH,RMSE,1,0.4658032442757494
EURUSD,GARCH,MAE,5,0.3493175193853243
EURUSD,GARCH,Pearson r,5,0.040456143183330774
EURUSD,GARCH,QLIKE,5,7.9652754956260825
EURUSD,GARCH,R2,5,-0.2430709527240542
EURUSD,GARCH,RMSE,5,0.4660145359699956
EURUSD,GARCH,MAE,10,0.35107466186981573
EURUSD,GARCH,Pearson r,10,0.022273639005650207
EURUSD,GARCH,QLIKE,10,7.985322393637228
EURUSD,GARCH,R2,10,-0.2577421672436242
EURUSD,GARCH,RMSE,10,0.4683897023564697
EURUSD,GARCH,MAE,20,0.35422500758343073
EURUSD,GARCH,Pearson r,20,0.010490169059866635
EURUSD,GARCH,QLIKE,20,7.998338607949742
EURUSD,GARCH,R2,20,-0.27065041427635195
EURUSD,GARCH,RMSE,20,0.4716257501397984
EURUSD,ITransformer,MAE,1,0.10740308876468785
EURUSD,ITransformer,Pearson r,1,0.39703932398769204
EURUSD,ITransformer,QLIKE,1,0.40742557603939883
EURUSD,ITransformer,R2,1,0.004400630124021254
EURUSD,ITransformer,RMSE,1,0.21317247899047173
EURUSD,ITransformer,MAE,5,0.11013812326417903
EURUSD,ITransformer,Pearson r,5,0.3578469501625462
EURUSD,ITransformer,QLIKE,5,0.4391763075465905
EURUSD,ITransformer,R2,5,-0.018627677699911027
EURUSD,ITransformer,RMSE,5,0.21358664965004848
EURUSD,ITransformer,MAE,10,0.11222073649856104
EURUSD,ITransformer,Pearson r,10,0.32289727043735733
EURUSD,ITransformer,QLIKE,10,0.4633361750707212
EURUSD,ITransformer,R2,10,-0.058046054160440175
EURUSD,ITransformer,RMSE,10,0.21664850101427102
EURUSD,ITransformer,MAE,20,0.11481843807504924
EURUSD,ITransformer,Pearson r,20,0.28339284543975357
EURUSD,ITransformer,QLIKE,20,0.4860150499664668
EURUSD,ITransformer,R2,20,-0.0833484121918644
EURUSD,ITransformer,RMSE,20,0.21794223738160043
EURUSD,Simple_KAN,MAE,1,0.08409319008826521
EURUSD,Simple_KAN,Pearson r,1,0.6148293102625173
EURUSD,Simple_KAN,QLIKE,1,0.4102609801028766
EURUSD,Simple_KAN,R2,1,0.35254520693945146
EURUSD,Simple_KAN,RMSE,1,0.17190699717762628
EURUSD,Simple_KAN,MAE,5,0.09015884283928059
EURUSD,Simple_KAN,Pearson r,5,0.5388247375444265
EURUSD,Simple_KAN,QLIKE,5,0.4259553294590012
EURUSD,Simple_KAN,R2,5,0.27161870949739964
EURUSD,Simple_KAN,RMSE,5,0.18061164911396643
EURUSD,Simple_KAN,MAE,10,0.09469696232462783
EURUSD,Simple_KAN,Pearson r,10,0.5053697500638822
EURUSD,Simple_KAN,QLIKE,10,0.42423479842340717
EURUSD,Simple_KAN,R2,10,0.23342554810779814
EURUSD,Simple_KAN,RMSE,10,0.18440834624115565
EURUSD,Simple_KAN,MAE,20,0.09988039690730226
EURUSD,Simple_KAN,Pearson r,20,0.46223998451900367
EURUSD,Simple_KAN,QLIKE,20,0.48809594624147085
EURUSD,Simple_KAN,R2,20,0.17656572787951308
EURUSD,Simple_KAN,RMSE,20,0.19000796158578395
EURUSD,Simple_LSTM,MAE,1,0.08550893571596777
EURUSD,Simple_LSTM,Pearson r,1,0.6464106327630355
EURUSD,Simple_LSTM,QLIKE,1,0.39972634208925406
EURUSD,Simple_LSTM,R2,1,0.4011530998376299
EURUSD,Simple_LSTM,RMSE,1,0.16532812181637624
EURUSD,Simple_LSTM,MAE,5,0.09096058863883093
EURUSD,Simple_LSTM,Pearson r,5,0.5581893661516091
EURUSD,Simple_LSTM,QLIKE,5,0.43834528659450744
EURUSD,Simple_LSTM,R2,5,0.2975117966033831
EURUSD,Simple_LSTM,RMSE,5,0.17737233570567296
EURUSD,Simple_LSTM,MAE,10,0.09849466242225459
EURUSD,Simple_LSTM,Pearson r,10,0.4875116020956272
EURUSD,Simple_LSTM,QLIKE,10,0.5102805225146758
EURUSD,Simple_LSTM,R2,10,0.19066537780850568
EURUSD,Simple_LSTM,RMSE,10,0.18948178277242608
EURUSD,Simple_LSTM,MAE,20,0.09545849351088848
EURUSD,Simple_LSTM,Pearson r,20,0.44449898298790524
EURUSD,Simple_LSTM,QLIKE,20,0.5114675167439201
EURUSD,Simple_LSTM,R2,20,0.17757785833058948
EURUSD,Simple_LSTM,RMSE,20,0.18989115081993174
EURUSD,Simple_MLP,MAE,1,0.08886137795839681
EURUSD,Simple_MLP,Pearson r,1,0.5619210302912624
EURUSD,Simple_MLP,QLIKE,1,0.4879903080553463
EURUSD,Simple_MLP,R2,1,0.30622729449504527
EURUSD,Simple_MLP,RMSE,1,0.17794977122601263
EURUSD,Simple_MLP,MAE,5,0.09468995293878855
EURUSD,Simple_MLP,Pearson r,5,0.5206089948180624
EURUSD,Simple_MLP,QLIKE,5,0.43836425610044555
EURUSD,Simple_MLP,R2,5,0.2447929648873387
EURUSD,Simple_MLP,RMSE,5,0.18390747455976103
EURUSD,Simple_MLP,MAE,10,0.10040911069894704
EURUSD,Simple_MLP,Pearson r,10,0.48321648819518154
EURUSD,Simple_MLP,QLIKE,10,0.4519806080126111
EURUSD,Simple_MLP,R2,10,0.1931259313507988
EURUSD,Simple_MLP,RMSE,10,0.18919353057182667
EURUSD,Simple_MLP,MAE,20,0.10170982833109106
EURUSD,Simple_MLP,Pearson r,20,0.4513759828658463
EURUSD,Simple_MLP,QLIKE,20,0.4833210131692657
EURUSD,Simple_MLP,R2,20,0.15897476928863852
EURUSD,Simple_MLP,RMSE,20,0.1920267987233031
AAPL,GARCH,MAE,1,2.2449335090158185
AAPL,GARCH,Pearson r,1,0.03704521079393697
AAPL,GARCH,QLIKE,1,7.146105010171701
AAPL,GARCH,R2,1,-2.3345049476534814
AAPL,GARCH,RMSE,1,3.2043412131517646
AAPL,GARCH,MAE,5,2.255908104549407
AAPL,GARCH,Pearson r,5,0.050060451840596175
AAPL,GARCH,QLIKE,5,7.189652236511409
AAPL,GARCH,R2,5,-2.2286538825695525
AAPL,GARCH,RMSE,5,3.162422653422375
AAPL,GARCH,MAE,10,2.2594920544102735
AAPL,GARCH,Pearson r,10,0.053776306266580746
AAPL,GARCH,QLIKE,10,7.200450688169673
AAPL,GARCH,R2,10,-2.1407607945011393
AAPL,GARCH,RMSE,10,3.1238943722021726
AAPL,GARCH,MAE,20,2.26494226386873
AAPL,GARCH,Pearson r,20,0.022401848936788767
AAPL,GARCH,QLIKE,20,7.186950200278511
AAPL,GARCH,R2,20,-2.0729882757861637
AAPL,GARCH,RMSE,20,3.0990110925701386
AAPL,ITransformer,MAE,1,2.4408094159965077
AAPL,ITransformer,Pearson r,1,0.23056800199706678
AAPL,ITransformer,QLIKE,1,0.5333054033704308
AAPL,ITransformer,R2,1,-0.017569608405988202
AAPL,ITransformer,RMSE,1,8.718175115491086
AAPL,ITransformer,MAE,5,2.5529770626274453
AAPL,ITransformer,Pearson r,5,0.19791943836733716
AAPL,ITransformer,QLIKE,5,0.5550278829957956
AAPL,ITransformer,R2,5,-0.019944041721241534
AAPL,ITransformer,RMSE,5,9.027910154402253
AAPL,ITransformer,MAE,10,2.5810581271412887
AAPL,ITransformer,Pearson r,10,0.1499804145387553
AAPL,ITransformer,QLIKE,10,0.5581120520919837
AAPL,ITransformer,R2,10,-0.020692137117392484
AAPL,ITransformer,RMSE,10,9.068595295860169
AAPL,ITransformer,MAE,20,2.6123384281642377
AAPL,ITransformer,Pearson r,20,0.10634948691630375
AAPL,ITransformer,QLIKE,20,0.558632318075285
AAPL,ITransformer,R2,20,-0.02155313663615077
AAPL,ITransformer,RMSE,20,9.091776792604223
AAPL,Simple_KAN,MAE,1,2.0929180530267675
AAPL,Simple_KAN,Pearson r,1,0.42508620591947055
AAPL,Simple_KAN,QLIKE,1,0.2784841905181064
AAPL,Simple_KAN,R2,1,0.15488038622561018
AAPL,Simple_KAN,RMSE,1,7.945159404057986
AAPL,Simple_KAN,MAE,5,2.4249710969014626
AAPL,Simple_KAN,Pearson r,5,0.3455127038536945
AAPL,Simple_KAN,QLIKE,5,0.40330326663729826
AAPL,Simple_KAN,R2,5,0.026756455963652392
AAPL,Simple_KAN,RMSE,5,8.81880666132753
AAPL,Simple_KAN,MAE,10,2.503461725120808
AAPL,Simple_KAN,Pearson r,10,0.2515071841343887
AAPL,Simple_KAN,QLIKE,10,0.4261009254528766
AAPL,Simple_KAN,R2,10,0.012712232923865585
AAPL,Simple_KAN,RMSE,10,8.918966125123541
AAPL,Simple_KAN,MAE,20,2.518575751228831
AAPL,Simple_KAN,Pearson r,20,0.18519968311790538
AAPL,Simple_KAN,QLIKE,20,0.4763995079379703
AAPL,Simple_KAN,R2,20,-0.024511263143947692
AAPL,Simple_KAN,RMSE,20,9.104930873051199
AAPL,Simple_LSTM,MAE,1,2.381796802243919
AAPL,Simple_LSTM,Pearson r,1,0.4507627799935617
AAPL,Simple_LSTM,QLIKE,1,0.5339535032514192
AAPL,Simple_LSTM,R2,1,-0.026858406124279366
AAPL,Simple_LSTM,RMSE,1,8.757876279566148
AAPL,Simple_LSTM,MAE,5,2.3962922319448205
AAPL,Simple_LSTM,Pearson r,5,0.39762933408818524
AAPL,Simple_LSTM,QLIKE,5,0.3591223016810415
AAPL,Simple_LSTM,R2,5,0.1169600206969903
AAPL,Simple_LSTM,RMSE,5,8.400192508720817
AAPL,Simple_LSTM,MAE,10,2.7244386709703567
AAPL,Simple_LSTM,Pearson r,10,0.18805779698911845
AAPL,Simple_LSTM,QLIKE,10,0.44571691219666126
AAPL,Simple_LSTM,R2,10,-0.05719149153145131
AAPL,Simple_LSTM,RMSE,10,9.229314940350411
AAPL,Simple_LSTM,MAE,20,2.683451308643821
AAPL,Simple_LSTM,Pearson r,20,0.07519892609179789
AAPL,Simple_LSTM,QLIKE,20,0.4917625739573805
AAPL,Simple_LSTM,R2,20,-0.0660805218100391
AAPL,Simple_LSTM,RMSE,20,9.287809272800038
AAPL,Simple_MLP,MAE,1,2.1335570690026215
AAPL,Simple_MLP,Pearson r,1,0.46735985885318854
AAPL,Simple_MLP,QLIKE,1,0.2884899935938828
AAPL,Simple_MLP,R2,1,0.1832077473176128
AAPL,Simple_MLP,RMSE,1,7.810868553482357
AAPL,Simple_MLP,MAE,5,2.4902587982098696
AAPL,Simple_MLP,Pearson r,5,0.35437695261334434
AAPL,Simple_MLP,QLIKE,5,0.3680751714310958
AAPL,Simple_MLP,R2,5,0.11087888443750571
AAPL,Simple_MLP,RMSE,5,8.429067232129578
AAPL,Simple_MLP,MAE,10,2.587151814691488
AAPL,Simple_MLP,Pearson r,10,0.19288878597339074
AAPL,Simple_MLP,QLIKE,10,0.45674028028773217
AAPL,Simple_MLP,R2,10,-0.000616924239255523
AAPL,Simple_MLP,RMSE,10,8.978970786434001
AAPL,Simple_MLP,MAE,20,2.5616293237085745
