ticker,model,metric,horizon,value
AAPL,Simple_KAN,MAE,1,2.233370241334277
AAPL,Simple_KAN,Pearson r,1,0.4032592931042776
AAPL,Simple_KAN,QLIKE,1,0.3393686762423303
AAPL,Simple_KAN,R2,1,0.04907236363852874
AAPL,Simple_KAN,RMSE,1,8.427858958482608
AAPL,Simple_KAN,MAE,5,2.4202289541794086
AAPL,Simple_KAN,Pearson r,5,0.3741018717813403
AAPL,Simple_KAN,QLIKE,5,0.3903546626646806
AAPL,Simple_KAN,R2,5,0.03274875460369442
AAPL,Simple_KAN,RMSE,5,8.791615873916495
AAPL,Simple_KAN,MAE,10,2.49639380520242
AAPL,Simple_KAN,Pearson r,10,0.2261623926224129
AAPL,Simple_KAN,QLIKE,10,0.45624982100091277
AAPL,Simple_KAN,R2,10,0.005054772856469492
AAPL,Simple_KAN,RMSE,10,8.953487321562964
AAPL,Simple_KAN,MAE,20,2.5426203519121358
AAPL,Simple_KAN,Pearson r,20,0.17683637360201007
AAPL,Simple_KAN,QLIKE,20,0.4839215654050008
AAPL,Simple_KAN,R2,20,-0.02982314173723566
AAPL,Simple_KAN,RMSE,20,9.128503947074604
MSFT,Simple_KAN,MAE,1,2.025080087130385
MSFT,Simple_KAN,Pearson r,1,0.05463377272834749
MSFT,Simple_KAN,QLIKE,1,0.4793559014218648
MSFT,Simple_KAN,R2,1,-0.017841436459681725
MSFT,Simple_KAN,RMSE,1,6.7623007658360015
MSFT,Simple_KAN,MAE,5,2.0724445672149234
MSFT,Simple_KAN,Pearson r,5,-0.008633781712325091
MSFT,Simple_KAN,QLIKE,5,0.48560477606109204
MSFT,Simple_KAN,R2,5,-0.02269196979802235
MSFT,Simple_KAN,RMSE,5,6.77854817374835
MSFT,Simple_KAN,MAE,10,2.0866770452477166
MSFT,Simple_KAN,Pearson r,10,-0.03222721460952857
MSFT,Simple_KAN,QLIKE,10,0.4882214520901108
MSFT,Simple_KAN,R2,10,-0.025370356696024388
MSFT,Simple_KAN,RMSE,10,6.787667611348242
MSFT,Simple_KAN,MAE,20,2.15071586676269
MSFT,Simple_KAN,Pearson r,20,-0.021689058764991175
MSFT,Simple_KAN,QLIKE,20,0.49432063533564763
MSFT,Simple_KAN,R2,20,-0.02396948207489613
MSFT,Simple_KAN,RMSE,20,6.987651031798013
GE,Simple_KAN,MAE,1,4.109228760100782
GE,Simple_KAN,Pearson r,1,0.005856476621936271
GE,Simple_KAN,QLIKE,1,0.6930588794156229
GE,Simple_KAN,R2,1,-0.011796585290887451
GE,Simple_KAN,RMSE,1,27.587478367543383
GE,Simple_KAN,MAE,5,4.179038040685803
GE,Simple_KAN,Pearson r,5,-0.0032814878654284212
GE,Simple_KAN,QLIKE,5,0.7177166142447896
GE,Simple_KAN,R2,5,-0.014988294291270243
GE,Simple_KAN,RMSE,5,27.629370210127284
GE,Simple_KAN,MAE,10,4.323730476739678
GE,Simple_KAN,Pearson r,10,-0.00920843686369567
GE,Simple_KAN,QLIKE,10,0.716371656059996
GE,Simple_KAN,R2,10,-0.010958243571471682
GE,Simple_KAN,RMSE,10,27.576487340459746
GE,Simple_KAN,MAE,20,4.390263444981142
GE,Simple_KAN,Pearson r,20,-0.01972420091170099
GE,Simple_KAN,QLIKE,20,0.7501525736464064
GE,Simple_KAN,R2,20,-0.017834377590163042
GE,Simple_KAN,RMSE,20,27.670842675817727
BAC,Simple_KAN,MAE,1,2.2462159495384366
BAC,Simple_KAN,Pearson r,1,0.3650149553657064
BAC,Simple_KAN,QLIKE,1,0.33739325326035335
BAC,Simple_KAN,R2,1,0.12338408308245874
BAC,Simple_KAN,RMSE,1,7.268023798502655
BAC,Simple_KAN,MAE,5,2.2456117723347173
BAC,Simple_KAN,Pearson r,5,0.08723430653638528
BAC,Simple_KAN,QLIKE,5,0.4178362400427559
BAC,Simple_KAN,R2,5,-0.010612441398857975
BAC,Simple_KAN,RMSE,5,7.807460248205408
BAC,Simple_KAN,MAE,10,2.2538496124641325
BAC,Simple_KAN,Pearson r,10,0.025997247970514933
BAC,Simple_KAN,QLIKE,10,0.424769417278345
BAC,Simple_KAN,R2,10,-0.015985372959858468
BAC,Simple_KAN,RMSE,10,7.828558359713283
BAC,Simple_KAN,MAE,20,2.858155526151381
BAC,Simple_KAN,Pearson r,20,0.051217361436211556
BAC,Simple_KAN,QLIKE,20,0.4679825788851433
BAC,Simple_KAN,R2,20,-0.4830341579474655
BAC,Simple_KAN,RMSE,20,9.456754656275672
C,Simple_KAN,MAE,1,2.7615936245691177
C,Simple_KAN,Pearson r,1,0.4324824893119318
C,Simple_KAN,QLIKE,1,0.31221245410224
C,Simple_KAN,R2,1,0.17554147788508723
C,Simple_KAN,RMSE,1,8.570665635770528
C,Simple_KAN,MAE,5,2.9701345618922086
C,Simple_KAN,Pearson r,5,0.2826079797308944
C,Simple_KAN,QLIKE,5,0.37885669493804947
C,Simple_KAN,R2,5,0.06355598946172147
C,Simple_KAN,RMSE,5,9.171172708518899
C,Simple_KAN,MAE,10,3.0761739581203376
C,Simple_KAN,Pearson r,10,0.16167468337065632
C,Simple_KAN,QLIKE,10,0.418920680861137
C,Simple_KAN,R2,10,0.00016817353754483566
C,Simple_KAN,RMSE,10,9.487567675741404
C,Simple_KAN,MAE,20,2.866581670524607
C,Simple_KAN,Pearson r,20,0.03965378639437117
C,Simple_KAN,QLIKE,20,0.4305568002886687
C,Simple_KAN,R2,20,-0.03835471237322485
C,Simple_KAN,RMSE,20,9.672446981594138
BTCUSDT,Simple_KAN,MAE,1,4.0850406667619525
BTCUSDT,Simple_KAN,Pearson r,1,0.3363863230646943
BTCUSDT,Simple_KAN,QLIKE,1,0.25782478305573453
BTCUSDT,Simple_KAN,R2,1,0.017160645109056127
BTCUSDT,Simple_KAN,RMSE,1,9.106789079692398
BTCUSDT,Simple_KAN,MAE,5,4.623493577696492
BTCUSDT,Simple_KAN,Pearson r,5,0.1686420828302182
BTCUSDT,Simple_KAN,QLIKE,5,0.3729666482840555
BTCUSDT,Simple_KAN,R2,5,-0.02478130565548664
BTCUSDT,Simple_KAN,RMSE,5,9.298258489163244
BTCUSDT,Simple_KAN,MAE,10,4.735970823291947
BTCUSDT,Simple_KAN,Pearson r,10,0.10989760278240193
BTCUSDT,Simple_KAN,QLIKE,10,0.38154234743307874
BTCUSDT,Simple_KAN,R2,10,-0.02752232312283409
BTCUSDT,Simple_KAN,RMSE,10,9.311805811976331
BTCUSDT,Simple_KAN,MAE,20,4.865638090060758
BTCUSDT,Simple_KAN,Pearson r,20,0.01398705168700216
BTCUSDT,Simple_KAN,QLIKE,20,0.3986656132630678
BTCUSDT,Simple_KAN,R2,20,-0.05701824044858328
BTCUSDT,Simple_KAN,RMSE,20,9.442844170898267
EURUSD,Simple_KAN,MAE,1,0.08925607283053114
EURUSD,Simple_KAN,Pearson r,1,0.5890948407491232
EURUSD,Simple_KAN,QLIKE,1,0.3790500973215941
EURUSD,Simple_KAN,R2,1,0.3429392691744939
EURUSD,Simple_KAN,RMSE,1,0.17317754763748167
EURUSD,Simple_KAN,MAE,5,0.09860821540873702
EURUSD,Simple_KAN,Pearson r,5,0.45740035948461244
EURUSD,Simple_KAN,QLIKE,5,0.4904052601507104
EURUSD,Simple_KAN,R2,5,0.17336141691203077
EURUSD,Simple_KAN,RMSE,5,0.19240847752237725
EURUSD,Simple_KAN,MAE,10,0.09808419231237349
EURUSD,Simple_KAN,Pearson r,10,0.43241359452511513
EURUSD,Simple_KAN,QLIKE,10,0.4747201102646539
EURUSD,Simple_KAN,R2,10,0.14142237230383914
EURUSD,Simple_KAN,RMSE,10,0.1951610681503014
EURUSD,Simple_KAN,MAE,20,0.10161240180255453
EURUSD,Simple_KAN,Pearson r,20,0.3551376301892153
EURUSD,Simple_KAN,QLIKE,20,0.5255709668580271
EURUSD,Simple_KAN,R2,20,0.07049412851205117
EURUSD,Simple_KAN,RMSE,20,0.20187539906552482
